0,13,0.17105,9,0.11842,14,0.18667
0.0005,9,0.11842,14,0.18421,10,0.13333
0.001,6,0.078947,6,0.078947,5,0.066667
0.0015,7,0.092105,8,0.10526,9,0.12
0.002,6,0.078947,3,0.039474,14,0.18667
0.0025,4,0.052632,10,0.13158,1,0.013333
0.003,9,0.11842,5,0.065789,2,0.026667
0.0035,1,0.013158,4,0.052632,6,0.08
0.004,4,0.052632,2,0.026316,5,0.066667
0.0045,5,0.065789,4,0.052632,1,0.013333
0.005,1,0.013158,3,0.039474,2,0.026667
0.0055,1,0.013158,2,0.026316,1,0.013333
0.006,3,0.039474,1,0.013158,2,0.026667
0.0065,4,0.052632,1,0.013158,1,0.013333
0.007,0,0,2,0.026316,0,0
0.0075,3,0.039474,0,0,1,0.013333
0.008,0,0,0,0,1,0.013333
0.0085,0,0,1,0.013158,0,0
0.009,0,0,0,0,0,0
0.0095,0,0,0,0,0,0
0.01,0,0,1,0.013158,0,0
0.0105,0,0,0,0,0,0
